1;MENJARS;COMIDAS
2;POSTRES;POSTRES
3;POSTRES GELATS;POSTRES HELADOS
4;ENTREPANS;BOCADILLOS
5;VI I SANGRIA;VINOS Y SANGRIAS
6;CAVES;CAVAS
7;CAFES;CAFES
8;COPES EN GENERAL;COPAS EN GENERAL
9;REFRESCS;REFRESCOS
10;APERITIUS;APERITIVOS
11;SNAPS GELATS;CHUPITOS HELADOS
12;LICORS AMB GEL;LICORES CON HIELO
13;LICORS GELATS C/H;LICORES HELADOS * C/H
15;TABACS;TABACOS
16;COMPLEMENTS;COMPLEMENTOS
17;VARIS;VARIOS CONCEPTOS
20;MENUS;MENUS
21;;COMPLEMENTOS DE MENÚS
25;AMPOLLES;BOTELLAS
30;PAGAMENTS A COMPTE;PAGOS A CUENTA
97;WHISKY COPES;WHISKY COPAS
98;WHISKY AMB GEL 1/2;WHISKY CON HIELO 1/2
99;WHISKY AMB GEL;WHISKY CON HIELO
