1;1;MENJARS;COMIDAS
2;2;POSTRES;POSTRES
3;3;POSTRES GELATS;POSTRES HELADOS
4;4;ENTEPANS;BOCADILLOS
5;5;VI I SANGRIA;VINOS Y SANGRIAS
6;6;CAVES;CAVAS
7;7;CAFES;CAFES
8;8;COPES EN GENERAL;COPAS EN GENERAL
9;9;REFRESCS;REFRESCOS
10;10;APERITIUS;APERITIVOS
11;11;SNAPS GELATS;ESNAPS HELADOS
12;12;LICORS;LICORES EN GENERAL * C/H
13;13;LICORS GELATS;LICORES HELADOS * C/H
15;15;TABACS;TABACOS
16;16;COMPLEMETS;COMPLEMENTOS
17;17;VARIS;VARIOS CONCEPTOS
20;20;MENUS;MENUS
25;25;AMPOLLES;BOTELLAS
30;30;PAGAMENTS A COMPTE;PAGOS A CUENTA
97;97;WHISKY COPES;WHISKY COPAS
98;98;WHISKY AMB GEL 1/2;WHISKY CON HIELO 1/2
99;99;WHISKY PER MARQUES;WHISKY POR MARCAS
1101;1;ENTRANTS;ENTRANTES
1102;1;CARNS;CARNES
1103;1;PEIX;PESCADO
1104;1;COMPLEMENTS;COMPLEMENTOS
1105;1;RACIONS;RACIONES
2001;2;POSTRES;POSTRES
5001;5;CELLER;BODEGA
6001;6;CAVES;CAVAS
